"","anon_id","assignment_name","score","course_id","course_name"
"366","nda257","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"367","llo278","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"368","les398","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"369","nez758","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"370","son163","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"371","ell773","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"372","tes577","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"373","ina624","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"374","tep393","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"375","ger413","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"376","res666","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"377","ado340","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"378","aya888","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"379","dez078","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"380","tiz281","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"381","aya041","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"382","uez168","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"383","ina853","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"384","ona128","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"385","nas826","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"386","ido404","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"387","ale585","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"388","son417","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"389","tiz022","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"390","urt762","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"391","ing762","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"392","res645","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"393","att054","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"394","ina094","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"395","ger440","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
